Departure City,Arrival City,Date Leave,Date Return,Departure Time,Arrival Time,Company,Price,Scraping Date
HCM,HAN,06/02/2024,16/02/2024,16:00,18:10,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,16:40,19:10,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,17:00,19:10,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,18:00,20:15,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,19:00,21:15,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,19:30,21:45,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,20:00,22:15,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,20:45,22:50,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,21:00,23:20,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,22:00,12:15,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,22:20,12:25,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,22:55,01:00,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,23:00,01:15,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,23:00,01:20,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,01:30,03:40,Bamboo Airways,"11,421,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,14:20,16:30,Bamboo Airways,"11,421,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,16:50,19:00,Bamboo Airways,"11,421,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,20:20,22:30,Bamboo Airways,"11,421,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,20:30,22:40,Bamboo Airways,"11,421,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,23:20,01:35,Bamboo Airways,"11,421,000",27/12/2023
